Country,Value chain stage,Type of cost,Value (€),% of consumer price,% of selling price,Market Share,Weighted Value (€)
Brazil,VAT,Taxes,0.95,6.5,6.5,0.304,0.2888
Brazil,Retail,Net profit margin,1.27,8.8,9.4,0.304,0.38608
Brazil,Retail,Taxes,0.34,2.3,2.5,0.304,0.10336000000000001
Brazil,Retail,Costs,1.51,10.0,11.0,0.304,0.45904
Brazil,German Coffee Tax,Taxes,2.19,15.0,21.0,0.304,0.66576
Brazil,Roasting & Finished product manufacturing,Net profit margin,0.82,5.7,10.0,0.304,0.24927999999999997
Brazil,Roasting & Finished product manufacturing,Taxes,0.41,2.8,5.0,0.304,0.12463999999999999
Brazil,Roasting & Finished product manufacturing,Costs,1.88,13.0,23.0,0.304,0.5715199999999999
Brazil,European logistic and trading,Net profit margin,0.06,0.41,1.2,0.304,0.01824
Brazil,European logistic and trading,Taxes,0.03,0.21,0.58,0.304,0.00912
Brazil,European logistic and trading,Costs,0.24,1.7,4.7,0.304,0.07296
Brazil,Collection & Exportation,Costs,0.71,4.9,15.0,0.304,0.21583999999999998
Brazil,Agricultural production,Net coffee farm income,2.5,17.0,62.0,0.304,0.76
Brazil,Agricultural production,Costs,1.55,11.0,38.0,0.304,0.4712
Colombia,VAT,Taxes,2.96,6.5,6.5,0.049,0.14504
Colombia,Retail,Net profit margin,8.63,19.0,20.0,0.049,0.4228700000000001
Colombia,Retail,Taxes,1.72,3.8,4.1,0.049,0.08428000000000001
Colombia,Retail,Costs,1.54,3.4,3.6,0.049,0.07546
Colombia,German Coffee Tax,Taxes,2.19,4.8,7.2,0.049,0.10731
Colombia,Roasting & Finished product manufacturing,Net profit margin,2.82,6.2,10.0,0.049,0.13818
Colombia,Roasting & Finished product manufacturing,Taxes,1.41,3.1,5.0,0.049,0.06909
Colombia,Roasting & Finished product manufacturing,Costs,19.4,43.0,69.0,0.049,0.9506
Colombia,European logistic and trading,Net profit margin,0.06,0.13,1.3,0.049,0.00294
Colombia,European logistic and trading,Taxes,0.03,0.066,0.65,0.049,0.00147
Colombia,European logistic and trading,Costs,0.24,0.53,5.2,0.049,0.01176
Colombia,Collection & Exportation,Net profit margin,0.1,0.22,2.3,0.049,0.004900000000000001
Colombia,Collection & Exportation,Taxes,0.15,0.34,3.6,0.049,0.00735
Colombia,Collection & Exportation,Costs,0.73,1.6,17.0,0.049,0.03577
Colombia,Agricultural production,Net coffee farm income,1.26,2.8,38.0,0.049,0.06174
Colombia,Agricultural production,Costs,2.03,4.5,62.0,0.049,0.09946999999999999
