Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
ALB,Albania,GBR,United Kingdom,2020,10.001801,1.237,Tirana,41.3272,19.8186,ALB,primary,London,51.5072,-0.1275,GBR,primary
ALB,Albania,BEL,Belgium,2021,0.105583,0.0009,Tirana,41.3272,19.8186,ALB,primary,Brussels,50.8467,4.3525,BEL,primary
ALB,Albania,GBR,United Kingdom,2021,4.76161,0.6,Tirana,41.3272,19.8186,ALB,primary,London,51.5072,-0.1275,GBR,primary
ALB,Albania,GBR,United Kingdom,2022,36.030987,5.197,Tirana,41.3272,19.8186,ALB,primary,London,51.5072,-0.1275,GBR,primary
DZA,Algeria,CAN,Canada,2018,7.979548,2.859,Algiers,36.7325,3.0872,DZA,primary,Ottawa,45.4247,-75.695,CAN,primary
DZA,Algeria,MLI,Mali,2018,1.0742,0.215,Algiers,36.7325,3.0872,DZA,primary,Bamako,12.6458,-7.9922,MLI,primary
DZA,Algeria,ARE,United Arab Emirates,2018,0.005078,0.01,Algiers,36.7325,3.0872,DZA,primary,Abu Dhabi,24.4667,54.3667,ARE,primary
DZA,Algeria,ARE,United Arab Emirates,2019,0.493961,0.35,Algiers,36.7325,3.0872,DZA,primary,Abu Dhabi,24.4667,54.3667,ARE,primary
AND,Andorra,AUT,Austria,2018,166.21634,41.757,Andorra la Vella,42.5,1.5,AND,primary,Vienna,48.2083,16.3725,AUT,primary
AND,Andorra,GMB,Gambia,2018,0.093323,0.042,Andorra la Vella,42.5,1.5,AND,primary,Banjul,13.4581,-16.5786,GMB,primary
AND,Andorra,KOR,"Korea, Republic",2018,0.023,0.002,Andorra la Vella,42.5,1.5,AND,primary,Seoul,37.5667,126.9833,KOR,primary
AND,Andorra,NPL,Nepal,2019,0.03408,0.001,Andorra la Vella,42.5,1.5,AND,primary,Kathmandu,27.71,85.32,NPL,primary
AGO,Angola,FRA,France,2018,86.29296,28.449993,Luanda,-8.8383,13.2344,AGO,primary,Paris,48.8567,2.3522,FRA,primary
AGO,Angola,DEU,Germany,2018,34.27992,18.134401,Luanda,-8.8383,13.2344,AGO,primary,Berlin,52.52,13.405,DEU,primary
AGO,Angola,LBN,Lebanon,2018,219.11615,144.50189,Luanda,-8.8383,13.2344,AGO,primary,Beirut,33.8981,35.5058,LBN,primary
AGO,Angola,LVA,Latvia,2018,128.67317,73.2,Luanda,-8.8383,13.2344,AGO,primary,Riga,56.9475,24.1069,LVA,primary
AGO,Angola,MAR,Morocco,2018,32.25565,18.147993,Luanda,-8.8383,13.2344,AGO,primary,Rabat,34.0209,-6.8416,MAR,primary
AGO,Angola,MAR,Morocco,2018,32.25565,18.147993,Luanda,-8.8383,13.2344,AGO,primary,Tifariti,26.158,-10.567,MAR,primary
AGO,Angola,NAM,Namibia,2018,14.281811,4.708581,Luanda,-8.8383,13.2344,AGO,primary,Windhoek,-22.57,17.0836,NAM,primary
AGO,Angola,PRT,Portugal,2018,519.98987,285.3277,Luanda,-8.8383,13.2344,AGO,primary,Lisbon,38.7122,-9.134,PRT,primary
AGO,Angola,RUS,Russian Federation,2018,13.66152,6.6,Luanda,-8.8383,13.2344,AGO,primary,Moscow,55.7506,37.6175,RUS,primary
AGO,Angola,ESP,Spain,2018,210.235,118.236244,Luanda,-8.8383,13.2344,AGO,primary,Madrid,40.4169,-3.7033,ESP,primary
AGO,Angola,ARE,United Arab Emirates,2018,77.24028,37.678936,Luanda,-8.8383,13.2344,AGO,primary,Abu Dhabi,24.4667,54.3667,ARE,primary
AGO,Angola,USA,United States,2018,74.94737,20.810583,Luanda,-8.8383,13.2344,AGO,primary,Washington,38.9047,-77.0163,USA,primary
AGO,Angola,ALB,Albania,2019,42.20103,36.6,Luanda,-8.8383,13.2344,AGO,primary,Tirana,41.3272,19.8186,ALB,primary
AGO,Angola,BEL,Belgium,2019,15.195004,9.641,Luanda,-8.8383,13.2344,AGO,primary,Brussels,50.8467,4.3525,BEL,primary
AGO,Angola,DEU,Germany,2019,13.076072,9.483,Luanda,-8.8383,13.2344,AGO,primary,Berlin,52.52,13.405,DEU,primary
AGO,Angola,KOR,"Korea, Republic",2019,0.7437857,0.18065393,Luanda,-8.8383,13.2344,AGO,primary,Seoul,37.5667,126.9833,KOR,primary
AGO,Angola,LBN,Lebanon,2019,177.27184,125.245895,Luanda,-8.8383,13.2344,AGO,primary,Beirut,33.8981,35.5058,LBN,primary
AGO,Angola,MAR,Morocco,2019,28.53186,18.3,Luanda,-8.8383,13.2344,AGO,primary,Rabat,34.0209,-6.8416,MAR,primary
AGO,Angola,MAR,Morocco,2019,28.53186,18.3,Luanda,-8.8383,13.2344,AGO,primary,Tifariti,26.158,-10.567,MAR,primary
AGO,Angola,POL,Poland,2019,45.875404,32.35824,Luanda,-8.8383,13.2344,AGO,primary,Warsaw,52.23,21.0111,POL,primary
AGO,Angola,PRT,Portugal,2019,1341.31,792.98975,Luanda,-8.8383,13.2344,AGO,primary,Lisbon,38.7122,-9.134,PRT,primary
AGO,Angola,RUS,Russian Federation,2019,123.14194,61.741,Luanda,-8.8383,13.2344,AGO,primary,Moscow,55.7506,37.6175,RUS,primary
AGO,Angola,ESP,Spain,2019,126.78609,73.65597,Luanda,-8.8383,13.2344,AGO,primary,Madrid,40.4169,-3.7033,ESP,primary
AGO,Angola,USA,United States,2019,22.140793,15.118323,Luanda,-8.8383,13.2344,AGO,primary,Washington,38.9047,-77.0163,USA,primary
AGO,Angola,DEU,Germany,2020,35.03611,24.395,Luanda,-8.8383,13.2344,AGO,primary,Berlin,52.52,13.405,DEU,primary
AGO,Angola,LBN,Lebanon,2020,46.88992,35.385,Luanda,-8.8383,13.2344,AGO,primary,Beirut,33.8981,35.5058,LBN,primary
AGO,Angola,MAR,Morocco,2020,60.261883,45.173157,Luanda,-8.8383,13.2344,AGO,primary,Rabat,34.0209,-6.8416,MAR,primary
AGO,Angola,MAR,Morocco,2020,60.261883,45.173157,Luanda,-8.8383,13.2344,AGO,primary,Tifariti,26.158,-10.567,MAR,primary
