Country,Continent,Consumption(KG),YearlyCoffeePerCapita(KG),DailyCoffeePerCapita(CUP),LifetimeCupConsumption(CUP),PricePerCupUSD,TotalLifetimeSpendingUSD,ISO_A3,Consumption(ton)
Luxembourg,Europe,13440000.00 ,20.53 ,5.31 ,118227.00 ,3.60 ,425618.00 ,LUX,13.44
Finland,Europe,80880000.00 ,14.58 ,3.77 ,83939.00 ,4.00 ,335756.00 ,FIN,80.88
Sweden,Europe,106140000.00 ,10.00 ,2.59 ,58612.00 ,3.70 ,216863.00 ,SWE,106.14
Norway,Europe,54360000.00 ,9.93 ,2.57 ,58159.00 ,4.40 ,255900.00 ,NOR,54.36
Austria,Europe,70380000.00 ,7.86 ,2.03 ,45198.00 ,3.30 ,149153.00 ,AUT,70.38
Denmark,Europe,46680000.00 ,7.90 ,2.04 ,44676.00 ,5.40 ,241250.00 ,DNK,46.68
Switzerland,Europe,63600000.00 ,7.23 ,1.87 ,42318.00 ,5.00 ,211591.00 ,CHE,63.6
Netherlands,Europe,121800000.00 ,6.91 ,1.79 ,39854.00 ,3.10 ,123548.00 ,NLD,121.8
Greece,Europe,68340000.00 ,6.61 ,1.71 ,37449.00 ,3.10 ,116092.00 ,GRC,68.34
Germany,Europe,520200000.00 ,6.25 ,1.61 ,35259.00 ,3.10 ,109303.00 ,DEU,520.2
Canada,North America,235740000.00 ,6.08 ,1.57 ,34956.00 ,3.50 ,122346.00 ,CAN,235.74
Belgium,Europe,71100000.00 ,6.08 ,1.57 ,34383.00 ,3.10 ,106587.00 ,BEL,71.1
France,Europe,371520000.00 ,5.74 ,1.48 ,32952.00 ,3.10 ,102152.00 ,FRA,371.52
Slovenia,Europe,12240000.00 ,5.77 ,1.49 ,32631.00 ,1.70 ,55473.00 ,SVN,12.24
Italy,Europe,328140000.00 ,5.57 ,1.44 ,32587.00 ,1.54 ,50184.00 ,ITA,328.14
Lebanon,Asia,33120000.00 ,6.19 ,1.60 ,31536.00 ,3.63 ,114476.00 ,LBN,33.12
Brazil,South America,1320000000.00 ,6.10 ,1.58 ,31142.00 ,1.55 ,48270.00 ,BRA,1320
Cyprus,Europe,6900000.00 ,5.48 ,1.42 ,31098.00 ,3.17 ,98581.00 ,CYP,6.9
Portugal,Europe,55860000.00 ,5.45 ,1.41 ,30879.00 ,1.66 ,51259.00 ,PRT,55.86
Croatia,Europe,22860000.00 ,5.70 ,1.47 ,30583.00 ,1.72 ,52603.00 ,HRV,22.86
Estonia,Europe,7380000.00 ,5.58 ,1.44 ,29959.00 ,3.05 ,91376.00 ,EST,7.38
Lithuania,Europe,15060000.00 ,5.54 ,1.43 ,28707.00 ,2.72 ,78084.00 ,LTU,15.06
Czech Republic,Europe,50580000.00 ,4.82 ,1.25 ,26463.00 ,2.46 ,65098.00 ,CZE,50.58
United States,North America,1599060000.00 ,4.70 ,1.22 ,25827.00 ,4.69 ,121131.00 ,USA,1599.06
Australia,Oceania,116340000.00 ,4.40 ,1.14 ,25798.00 ,3.24 ,83586.00 ,AUS,116.34
Ireland,Europe,22200000.00 ,4.39 ,1.13 ,25159.00 ,3.47 ,87303.00 ,IRL,22.2
Spain,Europe,195180000.00 ,4.11 ,1.06 ,23988.00 ,1.92 ,46057.00 ,ESP,195.18
Costa Rica,North America,21120000.00 ,4.05 ,1.05 ,22229.00 ,2.55 ,56683.00 ,CRI,21.12
Japan,Asia,441300000.00 ,3.58 ,0.93 ,21385.00 ,3.10 ,66295.00 ,JPN,441.3
Poland,Europe,150060000.00 ,3.66 ,0.95 ,19765.00 ,2.48 ,49017.00 ,POL,150.06
Latvia,Europe,6840000.00 ,3.74 ,0.97 ,19119.00 ,2.78 ,53150.00 ,LVA,6.84
Bulgaria,Europe,25380000.00 ,3.80 ,0.98 ,18243.00 ,1.57 ,28641.00 ,BGR,25.38
South Korea,Asia,148260000.00 ,2.86 ,0.74 ,16746.00 ,3.59 ,60119.00 ,KOR,148.26
Romania,Europe,66480000.00 ,3.34 ,0.86 ,16637.00 ,2.01 ,33440.00 ,ROU,66.48
Malta,Europe,1380000.00 ,2.58 ,0.67 ,15162.00 ,2.45 ,37147.00 ,MLT,1.38
Algeria,Africa,126600000.00 ,2.78 ,0.72 ,14454.00 ,0.84 ,12141.00 ,DZA,126.6
El Salvador,North America,17520000.00 ,2.75 ,0.71 ,13217.00 ,2.65 ,35024.00 ,SLV,17.52
Hungary,Europe,25080000.00 ,2.47 ,0.64 ,12848.00 ,1.57 ,20171.00 ,HUN,25.08
Venezuela,South America,76500000.00 ,2.65 ,0.69 ,12844.00 ,1.59 ,20423.00 ,VEN,76.5
Slovakia,Europe,13620000.00 ,2.35 ,0.61 ,12468.00 ,2.15 ,26807.00 ,SVK,13.62
Colombia,South America,121500000.00 ,2.33 ,0.60 ,12264.00 ,1.14 ,13981.00 ,COL,121.5
Ukraine,Europe,82740000.00 ,2.25 ,0.58 ,10797.00 ,1.13 ,12200.00 ,UKR,82.74
Saudi Arabia,Asia,74460000.00 ,2.02 ,0.52 ,10629.00 ,3.82 ,40602.00 ,SAU,74.46
Taiwan,Asia,42420000.00 ,1.77 ,0.46 ,9906.00 ,2.79 ,27638.00 ,TWN,42.42
Dominican Republic,North America,22620000.00 ,2.00 ,0.52 ,9870.00 ,2.11 ,20825.00 ,DOM,22.62
Russia,Europe,277860000.00 ,1.92 ,0.50 ,9673.00 ,2.91 ,28147.00 ,RUS,277.86
Honduras,North America,21000000.00 ,1.98 ,0.51 ,9494.00 ,1.80 ,17089.00 ,HND,21
Vietnam,Asia,159000000.00 ,1.61 ,0.42 ,8125.00 ,1.99 ,16169.00 ,VNM,159
Philippines,Asia,195000000.00 ,1.66 ,0.43 ,7848.00 ,2.47 ,19383.00 ,PHL,195
Ethiopia,Africa,226860000.00 ,1.79 ,0.46 ,7556.00 ,0.78 ,5893.00 ,ETH,226.86
Haiti,North America,20700000.00 ,1.77 ,0.46 ,7220.00 ,2.74 ,19782.00 ,HTI,20.7
Turkey,Asia,102660000.00 ,1.20 ,0.31 ,6450.00 ,1.54 ,9932.00 ,TUR,102.66
Thailand,Asia,84000000.00 ,1.17 ,0.30 ,6351.00 ,1.81 ,11495.00 ,THA,84
Morocco,Africa,45180000.00 ,1.19 ,0.31 ,5997.00 ,1.62 ,9715.00 ,MAR,45.18
Guatemala,North America,23580000.00 ,1.30 ,0.34 ,5957.00 ,2.37 ,14118.00 ,GTM,23.58
Mexico,North America,145500000.00 ,1.13 ,0.29 ,5610.00 ,2.55 ,14306.00 ,MEX,145.5
Indonesia,Asia,288360000.00 ,1.04 ,0.27 ,4829.00 ,2.06 ,9948.00 ,IDN,288.36
Argentina,South America,37260000.00 ,0.81 ,0.21 ,4292.00 ,1.76 ,7555.00 ,ARG,37.26
Sudan,Africa,42780000.00 ,0.89 ,0.23 ,3694.00 ,1.80 ,6649.00 ,SDN,42.78
Madagascar,Africa,22500000.00 ,0.74 ,0.19 ,3051.00 ,1.19 ,3631.00 ,MDG,22.5
Egypt,Africa,74520000.00 ,0.66 ,0.17 ,3040.00 ,1.99 ,6050.00 ,EGY,74.52
South Africa,Africa,39180000.00 ,0.65 ,0.17 ,2544.00 ,1.72 ,4376.00 ,ZAF,39.18
Peru,South America,15000000.00 ,0.44 ,0.11 ,2208.00 ,2.50 ,5521.00 ,PER,15
Uganda,Africa,15240000.00 ,0.31 ,0.08 ,1226.00 ,2.86 ,3508.00 ,UGA,15.24
India,Asia,87000000.00 ,0.06 ,0.02 ,365.00 ,1.83 ,668.00 ,IND,87
