ISO_A3,lat,lng,country
LUX,49.6117,6.1319,Luxembourg 🇱🇺
FIN,60.1708,24.9375,Finland 🇫🇮
SWE,59.3275,18.0547,Sweden 🇸🇪
NOR,59.9133,10.7389,Norway 🇳🇴
AUT,48.2083,16.3725,Austria 🇦🇹
DNK,55.6805,12.5615,Denmark 🇩🇰
CHE,46.948,7.4474,Switzerland 🇨🇭
NLD,52.3728,4.8936,Netherlands 🇳🇱
GRC,37.9842,23.7281,Greece 🇬🇷
DEU,52.52,13.405,Germany 🇩🇪
CAN,45.4247,-75.695,Canada 🇨🇦
BEL,50.8467,4.3525,Belgium 🇧🇪
FRA,48.8567,2.3522,France 🇫🇷
SVN,46.0514,14.5061,Slovenia 🇸🇮
ITA,41.8931,12.4828,Italy 🇮🇹
LBN,33.8981,35.5058,Lebanon 🇱🇧
BRA,-15.7939,-47.8828,Brazil 🇧🇷
CYP,35.1725,33.365,Cyprus 🇨🇾
PRT,38.7122,-9.134,Portugal 🇵🇹
HRV,45.8131,15.9772,Croatia 🇭🇷
EST,59.4372,24.7453,Estonia 🇪🇪
LTU,54.6872,25.28,Lithuania 🇱🇹
CZE,50.0875,14.4214,Czech Republic 🇨🇿
USA,38.9047,-77.0163,United States 🇺🇸
AUS,-35.2931,149.1269,Australia 🇦🇺
IRL,53.3497,-6.2603,Ireland 🇮🇪
ESP,40.4169,-3.7033,Spain 🇪🇸
CRI,9.9325,-84.08,Costa Rica 🇨🇷
JPN,35.687,139.7495,Japan 🇯🇵
POL,52.23,21.0111,Poland 🇵🇱
LVA,56.9475,24.1069,Latvia 🇱🇻
BGR,42.6979,23.3217,Bulgaria 🇧🇬
KOR,37.5667,126.9833,South Korea 🇰🇷
ROU,44.4325,26.1039,Romania 🇷🇴
MLT,35.8983,14.5125,Malta 🇲🇹
DZA,36.7325,3.0872,Algeria 🇩🇿
SLV,13.6989,-89.1914,El Salvador 🇸🇻
HUN,47.4983,19.0408,Hungary 🇭🇺
VEN,10.4806,-66.9036,Venezuela 🇻🇪
SVK,48.1447,17.1128,Slovakia 🇸🇰
COL,4.7111,-74.0722,Colombia 🇨🇴
UKR,50.45,30.5233,Ukraine 🇺🇦
SAU,24.65,46.71,Saudi Arabia 🇸🇦
TWN,,,Taiwan 🇹🇼
DOM,18.4764,-69.8933,Dominican Republic 🇩🇴
RUS,55.7506,37.6175,Russia 🇷🇺
HND,14.1057,-87.204,Honduras 🇭🇳
VNM,21.0,105.85,Vietnam 🇻🇳
PHL,14.5958,120.9772,Philippines 🇵🇭
ETH,9.03,38.74,Ethiopia 🇪🇹
HTI,18.5425,-72.3386,Haiti 🇭🇹
TUR,39.93,32.85,Turkey 🇹🇷
THA,13.7525,100.4942,Thailand 🇹🇭
MAR,34.0209,-6.8416,Morocco 🇲🇦
GTM,14.6417,-90.5133,Guatemala 🇬🇹
MEX,19.4333,-99.1333,Mexico 🇲🇽
IDN,-6.175,106.8275,Indonesia 🇮🇩
ARG,-34.6036,-58.3814,Argentina 🇦🇷
SDN,15.6031,32.5265,Sudan 🇸🇩
MDG,-18.91,47.525,Madagascar 🇲🇬
EGY,30.0444,31.2358,Egypt 🇪🇬
ZAF,-33.9253,18.4239,South Africa 🇿🇦
PER,-12.06,-77.0375,Peru 🇵🇪
UGA,0.3136,32.5811,Uganda 🇺🇬
IND,28.6139,77.2089,India 🇮🇳
