Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
AFG,Afghanistan,CAN,Canada,2018,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
AFG,Afghanistan,CIV,Cote d'Ivoire,2018,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Abidjan,5.3364 ,-4.0267 ,CIV,primary
AFG,Afghanistan,CIV,Cote d'Ivoire,2018,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Yamoussoukro,6.8161 ,-5.2742 ,CIV,primary
AFG,Afghanistan,CIV,Cote d'Ivoire,2019,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Abidjan,5.3364 ,-4.0267 ,CIV,primary
AFG,Afghanistan,CIV,Cote d'Ivoire,2019,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Yamoussoukro,6.8161 ,-5.2742 ,CIV,primary
AFG,Afghanistan,CHN,China,2020,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Beijing,39.9067 ,116.3975 ,CHN,primary
AFG,Afghanistan,CAN,Canada,2021,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
AFG,Afghanistan,MLT,Malta,2021,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Valletta,35.8983 ,14.5125 ,MLT,primary
AFG,Afghanistan,ARE,United Arab Emirates,2021,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Abu Dhabi,24.4667 ,54.3667 ,ARE,primary
AFG,Afghanistan,CZE,Czech Republic,2022,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Prague,50.0875 ,14.4214 ,CZE,primary
AFG,Afghanistan,PRT,Portugal,2022,,,Kabul,34.5253 ,69.1783 ,AFG,primary,Lisbon,38.7122 ,-9.1340 ,PRT,primary
ALB,Albania,AUT,Austria,2018,20.22961,1.915,Tirana,41.3272 ,19.8186 ,ALB,primary,Vienna,48.2083 ,16.3725 ,AUT,primary
ALB,Albania,CZE,Czech Republic,2018,4.221,0.45,Tirana,41.3272 ,19.8186 ,ALB,primary,Prague,50.0875 ,14.4214 ,CZE,primary
ALB,Albania,FRA,France,2018,12.588501,1.519171,Tirana,41.3272 ,19.8186 ,ALB,primary,Paris,48.8567 ,2.3522 ,FRA,primary
ALB,Albania,DEU,Germany,2018,15.137541,1.802,Tirana,41.3272 ,19.8186 ,ALB,primary,Berlin,52.5200 ,13.4050 ,DEU,primary
ALB,Albania,GRC,Greece,2018,1.959427,0.28,Tirana,41.3272 ,19.8186 ,ALB,primary,Athens,37.9842 ,23.7281 ,GRC,primary
ALB,Albania,HUN,Hungary,2018,5.614,0.678,Tirana,41.3272 ,19.8186 ,ALB,primary,Budapest,47.4983 ,19.0408 ,HUN,primary
ALB,Albania,ITA,Italy,2018,26.035952,3.089,Tirana,41.3272 ,19.8186 ,ALB,primary,Rome,41.8931 ,12.4828 ,ITA,primary
